Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
411 Reeves Field Suite 175,RESIDENTIAL,376,411 Reeves Field Suite 175 LAND TR Fee Owner,"$955,591 ","$86,785 ",$0 ,$0.00 ,$0.00 ,$0.00 
75165 Garcia Island Apt. 801,COMMERCIAL B,544,75165 Garcia Island Apt. 801 LAND TR Fee Owner,"$367,491 ","$45,108 ",$0 ,$0.00 ,$0.00 ,$0.00 
66633 Victoria Curve Suite 130,COMMERCIAL A,354,66633 Victoria Curve Suite 130 LAND TR Fee Owner,"$415,672 ","$44,439 ",$0 ,$0.00 ,$0.00 ,$0.00 
653 Brown Rapid,COMMERCIAL B,804,653 Brown Rapid LAND TR Fee Owner,"$878,848 ","$40,589 ",$0 ,$0.00 ,$0.00 ,$0.00 
876 Hughes Parkway Apt. 367,COMMERCIAL A,490,876 Hughes Parkway Apt. 367 LAND TR Fee Owner,"$115,928 ","$23,639 ",$0 ,$0.00 ,$0.00 ,$0.00 
455 White Shoal Apt. 946,COMMERCIAL B,286,455 White Shoal Apt. 946 LAND TR Fee Owner,"$478,148 ","$62,070 ",$0 ,$0.00 ,$0.00 ,$0.00 
2337 Ortega Via Apt. 245,COMMERCIAL A,135,2337 Ortega Via Apt. 245 LAND TR Fee Owner,"$139,614 ","$83,149 ",$0 ,$0.00 ,$0.00 ,$0.00 
8799 Dean Turnpike Apt. 250,COMMERCIAL A,291,8799 Dean Turnpike Apt. 250 LAND TR Fee Owner,"$964,948 ","$77,869 ",$0 ,$0.00 ,$0.00 ,$0.00 
9980 King Plains,COMMERCIAL B,752,9980 King Plains LAND TR Fee Owner,"$573,257 ","$17,504 ",$0 ,$0.00 ,$0.00 ,$0.00 
946 Smith Passage Suite 095,RESIDENTIAL,768,946 Smith Passage Suite 095 LAND TR Fee Owner,"$747,321 ","$46,206 ",$0 ,$0.00 ,$0.00 ,$0.00 
53622 Simmons Meadows Suite 352,COMMERCIAL A,909,53622 Simmons Meadows Suite 352 LAND TR Fee Owner,"$170,153 ","$92,780 ",$0 ,$0.00 ,$0.00 ,$0.00 
40343 Dawn Crossing Suite 025,RESIDENTIAL,691,40343 Dawn Crossing Suite 025 LAND TR Fee Owner,"$523,804 ","$15,510 ",$0 ,$0.00 ,$0.00 ,$0.00 
8340 Villegas Drive Suite 846,COMMERCIAL A,199,8340 Villegas Drive Suite 846 LAND TR Fee Owner,"$640,618 ","$85,764 ",$0 ,$0.00 ,$0.00 ,$0.00 
45930 Kayla Stream Suite 158,COMMERCIAL B,850,45930 Kayla Stream Suite 158 LAND TR Fee Owner,"$603,029 ","$70,496 ",$0 ,$0.00 ,$0.00 ,$0.00 
695 Garcia Flat,COMMERCIAL B,264,695 Garcia Flat LAND TR Fee Owner,"$195,310 ","$27,981 ",$0 ,$0.00 ,$0.00 ,$0.00 
9025 Gonzalez Flat,RESIDENTIAL,344,9025 Gonzalez Flat LAND TR Fee Owner,"$780,205 ","$32,859 ",$0 ,$0.00 ,$0.00 ,$0.00 
6897 Joe Locks Suite 530,COMMERCIAL B,116,6897 Joe Locks Suite 530 LAND TR Fee Owner,"$773,031 ","$33,413 ",$0 ,$0.00 ,$0.00 ,$0.00 
9234 Acosta Curve,COMMERCIAL A,179,9234 Acosta Curve LAND TR Fee Owner,"$558,858 ","$83,241 ",$0 ,$0.00 ,$0.00 ,$0.00 
6635 Singh Forge Apt. 571,COMMERCIAL B,916,6635 Singh Forge Apt. 571 LAND TR Fee Owner,"$772,164 ","$21,760 ",$0 ,$0.00 ,$0.00 ,$0.00 
46363 Carr Point Suite 918,RESIDENTIAL,266,46363 Carr Point Suite 918 LAND TR Fee Owner,"$834,147 ","$16,316 ",$0 ,$0.00 ,$0.00 ,$0.00 
20952 Melinda Mountain,RESIDENTIAL,651,20952 Melinda Mountain LAND TR Fee Owner,"$331,254 ","$36,739 ",$0 ,$0.00 ,$0.00 ,$0.00 
262 Steven Islands Apt. 227,COMMERCIAL B,627,262 Steven Islands Apt. 227 LAND TR Fee Owner,"$841,900 ","$17,212 ",$0 ,$0.00 ,$0.00 ,$0.00 
32743 Blevins Inlet,COMMERCIAL A,724,32743 Blevins Inlet LAND TR Fee Owner,"$749,924 ","$28,345 ",$0 ,$0.00 ,$0.00 ,$0.00 
200 Valerie Prairie,COMMERCIAL A,133,200 Valerie Prairie LAND TR Fee Owner,"$538,877 ","$57,080 ",$0 ,$0.00 ,$0.00 ,$0.00 
23588 Munoz Cove,RESIDENTIAL,872,23588 Munoz Cove LAND TR Fee Owner,"$237,316 ","$86,523 ",$0 ,$0.00 ,$0.00 ,$0.00 
5074 Johnson Motorway Apt. 241,COMMERCIAL B,505,5074 Johnson Motorway Apt. 241 LAND TR Fee Owner,"$217,631 ","$24,494 ",$0 ,$0.00 ,$0.00 ,$0.00 
7631 Smith Wall Suite 391,RESIDENTIAL,245,7631 Smith Wall Suite 391 LAND TR Fee Owner,"$730,069 ","$86,913 ",$0 ,$0.00 ,$0.00 ,$0.00 
70840 Atkinson Glen,COMMERCIAL A,252,70840 Atkinson Glen LAND TR Fee Owner,"$433,701 ","$24,090 ",$0 ,$0.00 ,$0.00 ,$0.00 
383 Stark Track,COMMERCIAL A,263,383 Stark Track LAND TR Fee Owner,"$787,324 ","$65,492 ",$0 ,$0.00 ,$0.00 ,$0.00 
51642 Tracy Haven,RESIDENTIAL,608,51642 Tracy Haven LAND TR Fee Owner,"$870,260 ","$41,632 ",$0 ,$0.00 ,$0.00 ,$0.00 
58191 Wang Lakes,COMMERCIAL B,665,58191 Wang Lakes LAND TR Fee Owner,"$624,059 ","$65,506 ",$0 ,$0.00 ,$0.00 ,$0.00 
187 Jones Court Suite 579,RESIDENTIAL,675,187 Jones Court Suite 579 LAND TR Fee Owner,"$226,385 ","$39,696 ",$0 ,$0.00 ,$0.00 ,$0.00 
34539 Brandy Trafficway,COMMERCIAL B,255,34539 Brandy Trafficway LAND TR Fee Owner,"$646,843 ","$59,876 ",$0 ,$0.00 ,$0.00 ,$0.00 
35499 Newman Turnpike Apt. 599,COMMERCIAL B,680,35499 Newman Turnpike Apt. 599 LAND TR Fee Owner,"$484,889 ","$91,768 ",$0 ,$0.00 ,$0.00 ,$0.00 
1170 Malik Lane Suite 074,RESIDENTIAL,396,1170 Malik Lane Suite 074 LAND TR Fee Owner,"$692,422 ","$28,777 ",$0 ,$0.00 ,$0.00 ,$0.00 
3480 Samuel Meadow Apt. 539,COMMERCIAL B,281,3480 Samuel Meadow Apt. 539 LAND TR Fee Owner,"$599,454 ","$48,695 ",$0 ,$0.00 ,$0.00 ,$0.00 
13535 Ballard Overpass,COMMERCIAL B,227,13535 Ballard Overpass LAND TR Fee Owner,"$168,195 ","$50,081 ",$0 ,$0.00 ,$0.00 ,$0.00 
8049 West Pine Suite 254,RESIDENTIAL,406,8049 West Pine Suite 254 LAND TR Fee Owner,"$851,892 ","$70,209 ",$0 ,$0.00 ,$0.00 ,$0.00 
38667 Vicki Key,COMMERCIAL A,549,38667 Vicki Key LAND TR Fee Owner,"$427,620 ","$72,907 ",$0 ,$0.00 ,$0.00 ,$0.00 
623 Kristen Cliffs Suite 686,RESIDENTIAL,763,623 Kristen Cliffs Suite 686 LAND TR Fee Owner,"$188,364 ","$40,714 ",$0 ,$0.00 ,$0.00 ,$0.00 
93439 Cline Haven Suite 034,RESIDENTIAL,884,93439 Cline Haven Suite 034 LAND TR Fee Owner,"$760,308 ","$79,882 ",$0 ,$0.00 ,$0.00 ,$0.00 
95560 Jeffrey Lakes,COMMERCIAL B,303,95560 Jeffrey Lakes LAND TR Fee Owner,"$404,875 ","$62,773 ",$0 ,$0.00 ,$0.00 ,$0.00 
9062 Ebony Field,COMMERCIAL B,210,9062 Ebony Field LAND TR Fee Owner,"$705,296 ","$57,670 ",$0 ,$0.00 ,$0.00 ,$0.00 
0189 Oliver Ridges,COMMERCIAL A,123,0189 Oliver Ridges LAND TR Fee Owner,"$799,356 ","$12,756 ",$0 ,$0.00 ,$0.00 ,$0.00 
15595 Andrew Parkways Apt. 912,COMMERCIAL A,763,15595 Andrew Parkways Apt. 912 LAND TR Fee Owner,"$456,946 ","$26,712 ",$0 ,$0.00 ,$0.00 ,$0.00 
780 Foster Gateway Apt. 146,RESIDENTIAL,327,780 Foster Gateway Apt. 146 LAND TR Fee Owner,"$131,052 ","$65,768 ",$0 ,$0.00 ,$0.00 ,$0.00 
916 Gina Locks Suite 322,COMMERCIAL B,950,916 Gina Locks Suite 322 LAND TR Fee Owner,"$449,281 ","$88,122 ",$0 ,$0.00 ,$0.00 ,$0.00 
4217 Allen Ridge Apt. 631,COMMERCIAL A,841,4217 Allen Ridge Apt. 631 LAND TR Fee Owner,"$164,196 ","$77,020 ",$0 ,$0.00 ,$0.00 ,$0.00 
804 Hopkins Ramp Suite 628,COMMERCIAL A,671,804 Hopkins Ramp Suite 628 LAND TR Fee Owner,"$450,344 ","$12,441 ",$0 ,$0.00 ,$0.00 ,$0.00 
1721 Ronald Mission Apt. 610,COMMERCIAL A,801,1721 Ronald Mission Apt. 610 LAND TR Fee Owner,"$919,646 ","$99,232 ",$0 ,$0.00 ,$0.00 ,$0.00 
80409 Jordan Land,COMMERCIAL B,643,80409 Jordan Land LAND TR Fee Owner,"$178,611 ","$99,859 ",$0 ,$0.00 ,$0.00 ,$0.00 
83691 Meagan Motorway Apt. 762,RESIDENTIAL,780,83691 Meagan Motorway Apt. 762 LAND TR Fee Owner,"$485,237 ","$44,411 ",$0 ,$0.00 ,$0.00 ,$0.00 
57715 Reynolds Skyway Suite 453,RESIDENTIAL,996,57715 Reynolds Skyway Suite 453 LAND TR Fee Owner,"$676,737 ","$42,300 ",$0 ,$0.00 ,$0.00 ,$0.00 
2579 Kenneth Plaza,RESIDENTIAL,561,2579 Kenneth Plaza LAND TR Fee Owner,"$115,904 ","$24,402 ",$0 ,$0.00 ,$0.00 ,$0.00 
36659 Gross Springs Apt. 988,COMMERCIAL A,716,36659 Gross Springs Apt. 988 LAND TR Fee Owner,"$858,670 ","$87,924 ",$0 ,$0.00 ,$0.00 ,$0.00 
12953 Nancy Cape,RESIDENTIAL,795,12953 Nancy Cape LAND TR Fee Owner,"$230,645 ","$79,196 ",$0 ,$0.00 ,$0.00 ,$0.00 
7431 Nicholas Roads Apt. 638,COMMERCIAL B,962,7431 Nicholas Roads Apt. 638 LAND TR Fee Owner,"$615,109 ","$55,795 ",$0 ,$0.00 ,$0.00 ,$0.00 
60767 Sandoval Loop Suite 309,RESIDENTIAL,489,60767 Sandoval Loop Suite 309 LAND TR Fee Owner,"$910,626 ","$90,915 ",$0 ,$0.00 ,$0.00 ,$0.00 
1030 Barnes Station,COMMERCIAL A,509,1030 Barnes Station LAND TR Fee Owner,"$998,461 ","$43,288 ",$0 ,$0.00 ,$0.00 ,$0.00 
61629 Richard Manors Apt. 674,RESIDENTIAL,861,61629 Richard Manors Apt. 674 LAND TR Fee Owner,"$338,830 ","$92,515 ",$0 ,$0.00 ,$0.00 ,$0.00 
2838 Thomas Prairie,COMMERCIAL B,120,2838 Thomas Prairie LAND TR Fee Owner,"$864,426 ","$79,527 ",$0 ,$0.00 ,$0.00 ,$0.00 
74920 Jacobs Underpass,COMMERCIAL B,416,74920 Jacobs Underpass LAND TR Fee Owner,"$238,801 ","$55,338 ",$0 ,$0.00 ,$0.00 ,$0.00 
407 Wyatt Islands Suite 426,RESIDENTIAL,501,407 Wyatt Islands Suite 426 LAND TR Fee Owner,"$814,984 ","$10,319 ",$0 ,$0.00 ,$0.00 ,$0.00 
52110 Daniel Mill,COMMERCIAL B,310,52110 Daniel Mill LAND TR Fee Owner,"$984,464 ","$47,583 ",$0 ,$0.00 ,$0.00 ,$0.00 
202 Thomas Flats Apt. 335,COMMERCIAL A,154,202 Thomas Flats Apt. 335 LAND TR Fee Owner,"$406,986 ","$52,394 ",$0 ,$0.00 ,$0.00 ,$0.00 
763 James Squares,COMMERCIAL A,471,763 James Squares LAND TR Fee Owner,"$551,235 ","$41,686 ",$0 ,$0.00 ,$0.00 ,$0.00 
4422 Anthony Inlet,COMMERCIAL B,797,4422 Anthony Inlet LAND TR Fee Owner,"$152,778 ","$67,060 ",$0 ,$0.00 ,$0.00 ,$0.00 
5601 Stone Mountains Suite 146,RESIDENTIAL,645,5601 Stone Mountains Suite 146 LAND TR Fee Owner,"$752,453 ","$67,858 ",$0 ,$0.00 ,$0.00 ,$0.00 
31207 Bryant Pines,COMMERCIAL A,110,31207 Bryant Pines LAND TR Fee Owner,"$910,106 ","$67,308 ",$0 ,$0.00 ,$0.00 ,$0.00 
671 Hanna Stream,COMMERCIAL B,384,671 Hanna Stream LAND TR Fee Owner,"$269,520 ","$17,071 ",$0 ,$0.00 ,$0.00 ,$0.00 
497 Juan Road Apt. 984,RESIDENTIAL,420,497 Juan Road Apt. 984 LAND TR Fee Owner,"$488,561 ","$84,948 ",$0 ,$0.00 ,$0.00 ,$0.00 
203 Banks Fall Apt. 715,COMMERCIAL B,443,203 Banks Fall Apt. 715 LAND TR Fee Owner,"$711,606 ","$40,575 ",$0 ,$0.00 ,$0.00 ,$0.00 
80384 Smith Alley Suite 696,COMMERCIAL A,172,80384 Smith Alley Suite 696 LAND TR Fee Owner,"$527,112 ","$96,629 ",$0 ,$0.00 ,$0.00 ,$0.00 
294 Christine Harbor,COMMERCIAL B,117,294 Christine Harbor LAND TR Fee Owner,"$639,597 ","$79,335 ",$0 ,$0.00 ,$0.00 ,$0.00 
1382 Burns Drives,COMMERCIAL A,401,1382 Burns Drives LAND TR Fee Owner,"$158,598 ","$21,649 ",$0 ,$0.00 ,$0.00 ,$0.00 
0620 Myers Glens Apt. 857,COMMERCIAL B,792,0620 Myers Glens Apt. 857 LAND TR Fee Owner,"$784,454 ","$80,174 ",$0 ,$0.00 ,$0.00 ,$0.00 
9905 Figueroa Inlet Suite 975,COMMERCIAL B,893,9905 Figueroa Inlet Suite 975 LAND TR Fee Owner,"$408,545 ","$26,097 ",$0 ,$0.00 ,$0.00 ,$0.00 
8869 Megan Unions,COMMERCIAL A,690,8869 Megan Unions LAND TR Fee Owner,"$598,676 ","$62,653 ",$0 ,$0.00 ,$0.00 ,$0.00 
29136 Don Run,COMMERCIAL B,138,29136 Don Run LAND TR Fee Owner,"$615,700 ","$78,837 ",$0 ,$0.00 ,$0.00 ,$0.00 
57495 Bradley Cliffs,RESIDENTIAL,228,57495 Bradley Cliffs LAND TR Fee Owner,"$780,108 ","$85,794 ",$0 ,$0.00 ,$0.00 ,$0.00 
881 Zavala Key Suite 279,COMMERCIAL A,842,881 Zavala Key Suite 279 LAND TR Fee Owner,"$315,614 ","$87,144 ",$0 ,$0.00 ,$0.00 ,$0.00 
127 Daniel Locks Suite 783,COMMERCIAL A,758,127 Daniel Locks Suite 783 LAND TR Fee Owner,"$682,066 ","$37,845 ",$0 ,$0.00 ,$0.00 ,$0.00 
227 Huff Coves,COMMERCIAL A,588,227 Huff Coves LAND TR Fee Owner,"$932,687 ","$56,303 ",$0 ,$0.00 ,$0.00 ,$0.00 
691 Scott Port,COMMERCIAL A,535,691 Scott Port LAND TR Fee Owner,"$914,702 ","$86,149 ",$0 ,$0.00 ,$0.00 ,$0.00 
93597 Kenneth Harbor,COMMERCIAL A,272,93597 Kenneth Harbor LAND TR Fee Owner,"$966,076 ","$24,675 ",$0 ,$0.00 ,$0.00 ,$0.00 
4832 Larry Route,COMMERCIAL A,557,4832 Larry Route LAND TR Fee Owner,"$165,562 ","$80,906 ",$0 ,$0.00 ,$0.00 ,$0.00 
200 Tina Stravenue,COMMERCIAL B,226,200 Tina Stravenue LAND TR Fee Owner,"$576,183 ","$16,035 ",$0 ,$0.00 ,$0.00 ,$0.00 
37427 Angela Plaza,COMMERCIAL B,660,37427 Angela Plaza LAND TR Fee Owner,"$176,888 ","$21,610 ",$0 ,$0.00 ,$0.00 ,$0.00 
0708 Jerry Isle,RESIDENTIAL,220,0708 Jerry Isle LAND TR Fee Owner,"$751,584 ","$23,719 ",$0 ,$0.00 ,$0.00 ,$0.00 
232 Jason Heights,RESIDENTIAL,315,232 Jason Heights LAND TR Fee Owner,"$963,314 ","$65,469 ",$0 ,$0.00 ,$0.00 ,$0.00 
64030 Dawn Heights,RESIDENTIAL,300,64030 Dawn Heights LAND TR Fee Owner,"$818,459 ","$12,319 ",$0 ,$0.00 ,$0.00 ,$0.00 
73962 Carrie Trail Suite 408,COMMERCIAL A,565,73962 Carrie Trail Suite 408 LAND TR Fee Owner,"$703,578 ","$15,030 ",$0 ,$0.00 ,$0.00 ,$0.00 
9627 Karen Streets,COMMERCIAL A,470,9627 Karen Streets LAND TR Fee Owner,"$170,207 ","$60,178 ",$0 ,$0.00 ,$0.00 ,$0.00 
1772 Laura Ranch Suite 464,COMMERCIAL B,700,1772 Laura Ranch Suite 464 LAND TR Fee Owner,"$317,870 ","$76,433 ",$0 ,$0.00 ,$0.00 ,$0.00 
0758 Shawn Tunnel,COMMERCIAL A,438,0758 Shawn Tunnel LAND TR Fee Owner,"$154,128 ","$50,586 ",$0 ,$0.00 ,$0.00 ,$0.00 
24140 Smith Isle,COMMERCIAL A,148,24140 Smith Isle LAND TR Fee Owner,"$471,982 ","$32,073 ",$0 ,$0.00 ,$0.00 ,$0.00 
290 Marie Field Suite 769,RESIDENTIAL,962,290 Marie Field Suite 769 LAND TR Fee Owner,"$247,821 ","$90,810 ",$0 ,$0.00 ,$0.00 ,$0.00 
55492 Kimberly Extensions Apt. 902,COMMERCIAL A,309,55492 Kimberly Extensions Apt. 902 LAND TR Fee Owner,"$815,401 ","$68,386 ",$0 ,$0.00 ,$0.00 ,$0.00 
26967 Lori Fort Apt. 836,COMMERCIAL B,457,26967 Lori Fort Apt. 836 LAND TR Fee Owner,"$553,446 ","$90,389 ",$0 ,$0.00 ,$0.00 ,$0.00 
7519 Susan Forks,RESIDENTIAL,517,7519 Susan Forks LAND TR Fee Owner,"$294,001 ","$37,269 ",$0 ,$0.00 ,$0.00 ,$0.00 
298 Kennedy Park,COMMERCIAL A,911,298 Kennedy Park LAND TR Fee Owner,"$108,922 ","$32,195 ",$0 ,$0.00 ,$0.00 ,$0.00 
2792 Parker Via Apt. 951,COMMERCIAL A,244,2792 Parker Via Apt. 951 LAND TR Fee Owner,"$353,687 ","$25,614 ",$0 ,$0.00 ,$0.00 ,$0.00 
7021 Andrew Path Apt. 175,COMMERCIAL A,513,7021 Andrew Path Apt. 175 LAND TR Fee Owner,"$307,521 ","$29,275 ",$0 ,$0.00 ,$0.00 ,$0.00 
0102 Eric Oval,COMMERCIAL A,456,0102 Eric Oval LAND TR Fee Owner,"$115,113 ","$68,750 ",$0 ,$0.00 ,$0.00 ,$0.00 
4219 Franklin Port Suite 770,COMMERCIAL A,866,4219 Franklin Port Suite 770 LAND TR Fee Owner,"$349,817 ","$22,482 ",$0 ,$0.00 ,$0.00 ,$0.00 
5240 Simon Path Apt. 659,COMMERCIAL A,422,5240 Simon Path Apt. 659 LAND TR Fee Owner,"$561,828 ","$88,978 ",$0 ,$0.00 ,$0.00 ,$0.00 
717 Flynn Divide Suite 111,RESIDENTIAL,755,717 Flynn Divide Suite 111 LAND TR Fee Owner,"$487,456 ","$76,284 ",$0 ,$0.00 ,$0.00 ,$0.00 
2165 Daniel Mill Apt. 933,COMMERCIAL B,890,2165 Daniel Mill Apt. 933 LAND TR Fee Owner,"$881,847 ","$64,016 ",$0 ,$0.00 ,$0.00 ,$0.00 
339 John Oval,COMMERCIAL B,934,339 John Oval LAND TR Fee Owner,"$854,736 ","$19,225 ",$0 ,$0.00 ,$0.00 ,$0.00 
407 Erin Club Apt. 162,RESIDENTIAL,340,407 Erin Club Apt. 162 LAND TR Fee Owner,"$471,092 ","$32,131 ",$0 ,$0.00 ,$0.00 ,$0.00 
192 Zachary Ferry,COMMERCIAL B,304,192 Zachary Ferry LAND TR Fee Owner,"$524,488 ","$26,428 ",$0 ,$0.00 ,$0.00 ,$0.00 
52059 Kim Mount Suite 870,COMMERCIAL B,966,52059 Kim Mount Suite 870 LAND TR Fee Owner,"$738,388 ","$18,311 ",$0 ,$0.00 ,$0.00 ,$0.00 
04278 Ward Brook,RESIDENTIAL,602,04278 Ward Brook LAND TR Fee Owner,"$805,300 ","$39,009 ",$0 ,$0.00 ,$0.00 ,$0.00 
15965 Myers Mills,RESIDENTIAL,818,15965 Myers Mills LAND TR Fee Owner,"$300,845 ","$43,805 ",$0 ,$0.00 ,$0.00 ,$0.00 
0192 Nelson Tunnel Suite 300,COMMERCIAL A,371,0192 Nelson Tunnel Suite 300 LAND TR Fee Owner,"$680,188 ","$49,006 ",$0 ,$0.00 ,$0.00 ,$0.00 
776 Jade Villages Apt. 760,RESIDENTIAL,725,776 Jade Villages Apt. 760 LAND TR Fee Owner,"$685,644 ","$19,630 ",$0 ,$0.00 ,$0.00 ,$0.00 
06330 Holloway Rest,COMMERCIAL B,824,06330 Holloway Rest LAND TR Fee Owner,"$958,752 ","$49,186 ",$0 ,$0.00 ,$0.00 ,$0.00 
40205 Kim Point Apt. 313,COMMERCIAL A,807,40205 Kim Point Apt. 313 LAND TR Fee Owner,"$897,671 ","$21,524 ",$0 ,$0.00 ,$0.00 ,$0.00 
24779 Gibson Greens,RESIDENTIAL,685,24779 Gibson Greens LAND TR Fee Owner,"$411,763 ","$92,519 ",$0 ,$0.00 ,$0.00 ,$0.00 
3452 Sawyer Station Suite 444,COMMERCIAL A,111,3452 Sawyer Station Suite 444 LAND TR Fee Owner,"$565,105 ","$14,175 ",$0 ,$0.00 ,$0.00 ,$0.00 
99154 Gonzalez Manors,COMMERCIAL B,719,99154 Gonzalez Manors LAND TR Fee Owner,"$607,384 ","$87,692 ",$0 ,$0.00 ,$0.00 ,$0.00 
113 Nicole Springs,COMMERCIAL B,828,113 Nicole Springs LAND TR Fee Owner,"$680,486 ","$14,860 ",$0 ,$0.00 ,$0.00 ,$0.00 
0088 Brandon Forest Apt. 342,RESIDENTIAL,324,0088 Brandon Forest Apt. 342 LAND TR Fee Owner,"$552,505 ","$15,955 ",$0 ,$0.00 ,$0.00 ,$0.00 
105 Adams Estate Apt. 637,COMMERCIAL A,715,105 Adams Estate Apt. 637 LAND TR Fee Owner,"$893,468 ","$38,745 ",$0 ,$0.00 ,$0.00 ,$0.00 
39452 Gonzalez Walks,COMMERCIAL A,388,39452 Gonzalez Walks LAND TR Fee Owner,"$106,526 ","$75,145 ",$0 ,$0.00 ,$0.00 ,$0.00 
423 Lynn Stream Suite 063,RESIDENTIAL,424,423 Lynn Stream Suite 063 LAND TR Fee Owner,"$686,211 ","$42,919 ",$0 ,$0.00 ,$0.00 ,$0.00 
785 Nelson Ridges Suite 000,COMMERCIAL A,957,785 Nelson Ridges Suite 000 LAND TR Fee Owner,"$153,854 ","$51,629 ",$0 ,$0.00 ,$0.00 ,$0.00 
59992 Kathy Expressway Suite 475,RESIDENTIAL,700,59992 Kathy Expressway Suite 475 LAND TR Fee Owner,"$847,455 ","$96,375 ",$0 ,$0.00 ,$0.00 ,$0.00 
775 Trevor Mount Apt. 669,COMMERCIAL B,436,775 Trevor Mount Apt. 669 LAND TR Fee Owner,"$198,251 ","$53,186 ",$0 ,$0.00 ,$0.00 ,$0.00 
33076 Jackson Junctions Suite 143,COMMERCIAL B,293,33076 Jackson Junctions Suite 143 LAND TR Fee Owner,"$572,868 ","$21,358 ",$0 ,$0.00 ,$0.00 ,$0.00 
09177 Casey Shoal,COMMERCIAL A,954,09177 Casey Shoal LAND TR Fee Owner,"$894,186 ","$84,754 ",$0 ,$0.00 ,$0.00 ,$0.00 
76949 Jared Bridge,RESIDENTIAL,363,76949 Jared Bridge LAND TR Fee Owner,"$769,556 ","$33,764 ",$0 ,$0.00 ,$0.00 ,$0.00 
250 James Plains,COMMERCIAL B,260,250 James Plains LAND TR Fee Owner,"$941,411 ","$99,941 ",$0 ,$0.00 ,$0.00 ,$0.00 
094 Graves Meadows,COMMERCIAL B,273,094 Graves Meadows LAND TR Fee Owner,"$204,574 ","$25,456 ",$0 ,$0.00 ,$0.00 ,$0.00 
481 Debbie Estates,RESIDENTIAL,755,481 Debbie Estates LAND TR Fee Owner,"$559,257 ","$19,129 ",$0 ,$0.00 ,$0.00 ,$0.00 
70970 Dean Underpass Suite 340,COMMERCIAL A,983,70970 Dean Underpass Suite 340 LAND TR Fee Owner,"$794,706 ","$62,254 ",$0 ,$0.00 ,$0.00 ,$0.00 
4877 Smith Drive,COMMERCIAL A,357,4877 Smith Drive LAND TR Fee Owner,"$864,507 ","$98,670 ",$0 ,$0.00 ,$0.00 ,$0.00 
129 Aaron Rue Apt. 470,COMMERCIAL A,396,129 Aaron Rue Apt. 470 LAND TR Fee Owner,"$286,788 ","$36,994 ",$0 ,$0.00 ,$0.00 ,$0.00 
1356 Mary Neck,COMMERCIAL A,145,1356 Mary Neck LAND TR Fee Owner,"$144,388 ","$71,145 ",$0 ,$0.00 ,$0.00 ,$0.00 
5881 Cochran Parks Suite 946,COMMERCIAL B,597,5881 Cochran Parks Suite 946 LAND TR Fee Owner,"$102,622 ","$97,807 ",$0 ,$0.00 ,$0.00 ,$0.00 
0516 Rodriguez Drive,COMMERCIAL A,674,0516 Rodriguez Drive LAND TR Fee Owner,"$806,064 ","$17,456 ",$0 ,$0.00 ,$0.00 ,$0.00 
562 Christy Burgs,COMMERCIAL B,897,562 Christy Burgs LAND TR Fee Owner,"$123,151 ","$55,839 ",$0 ,$0.00 ,$0.00 ,$0.00 
205 Kylie Prairie Suite 161,COMMERCIAL B,850,205 Kylie Prairie Suite 161 LAND TR Fee Owner,"$958,891 ","$48,477 ",$0 ,$0.00 ,$0.00 ,$0.00 
572 Ball Hollow Suite 827,RESIDENTIAL,345,572 Ball Hollow Suite 827 LAND TR Fee Owner,"$993,395 ","$36,581 ",$0 ,$0.00 ,$0.00 ,$0.00 
6191 Terri Square,RESIDENTIAL,600,6191 Terri Square LAND TR Fee Owner,"$358,555 ","$74,056 ",$0 ,$0.00 ,$0.00 ,$0.00 
513 Thomas Islands,COMMERCIAL A,963,513 Thomas Islands LAND TR Fee Owner,"$542,938 ","$55,088 ",$0 ,$0.00 ,$0.00 ,$0.00 
607 Shannon Squares,COMMERCIAL A,560,607 Shannon Squares LAND TR Fee Owner,"$305,766 ","$21,488 ",$0 ,$0.00 ,$0.00 ,$0.00 
52603 Tonya Prairie Apt. 550,COMMERCIAL B,524,52603 Tonya Prairie Apt. 550 LAND TR Fee Owner,"$918,274 ","$48,099 ",$0 ,$0.00 ,$0.00 ,$0.00 
85217 Gray Vista,COMMERCIAL B,949,85217 Gray Vista LAND TR Fee Owner,"$771,646 ","$74,649 ",$0 ,$0.00 ,$0.00 ,$0.00 
6942 Wang Avenue,RESIDENTIAL,679,6942 Wang Avenue LAND TR Fee Owner,"$438,358 ","$69,823 ",$0 ,$0.00 ,$0.00 ,$0.00 
5885 Simmons Parks,RESIDENTIAL,123,5885 Simmons Parks LAND TR Fee Owner,"$369,124 ","$71,605 ",$0 ,$0.00 ,$0.00 ,$0.00 
47694 May Station,RESIDENTIAL,469,47694 May Station LAND TR Fee Owner,"$977,481 ","$28,067 ",$0 ,$0.00 ,$0.00 ,$0.00 
388 Jones Ford,COMMERCIAL B,546,388 Jones Ford LAND TR Fee Owner,"$412,120 ","$98,628 ",$0 ,$0.00 ,$0.00 ,$0.00 
50967 Louis Brooks,RESIDENTIAL,474,50967 Louis Brooks LAND TR Fee Owner,"$366,226 ","$87,786 ",$0 ,$0.00 ,$0.00 ,$0.00 
4314 Nelson Hill,COMMERCIAL B,996,4314 Nelson Hill LAND TR Fee Owner,"$407,473 ","$42,800 ",$0 ,$0.00 ,$0.00 ,$0.00 
