Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
6215 MAIN ST,RESIDENTIAL A,"1,758",6215 MAIN ST LAND TR Fee Owner,"$400,550","$182,204",$0,$0.00,$0.00,$0.00
4744 MAIN ST,COMMERCIAL B,"5,746",4744 MAIN ST LAND TR Fee Owner,"$126,773","$48,031",$0,$0.00,$0.00,$0.00
2698 MAIN ST,COMMERCIAL B,"3,038",2698 MAIN ST LAND TR Fee Owner,"$901,199","$55,527",$0,$0.00,$0.00,$0.00
5983 MAIN ST,RESIDENTIAL A,"6,136",5983 MAIN ST LAND TR Fee Owner,"$962,180","$74,399",$0,$0.00,$0.00,$0.00
9743 MAIN ST,RESIDENTIAL A,"1,764",9743 MAIN ST LAND TR Fee Owner,"$151,968","$76,405",$0,$0.00,$0.00,$0.00
9384 MAIN ST,RESIDENTIAL B,"9,261",9384 MAIN ST LAND TR Fee Owner,"$457,545","$13,659",$0,$0.00,$0.00,$0.00
1969 MAIN ST,COMMERCIAL A,"5,000",1969 MAIN ST LAND TR Fee Owner,"$65,925","$34,679",$0,$0.00,$0.00,$0.00
2257 MAIN ST,RESIDENTIAL A,"7,910",2257 MAIN ST LAND TR Fee Owner,"$462,948","$158,271",$0,$0.00,$0.00,$0.00
9445 MAIN ST,RESIDENTIAL B,"3,836",9445 MAIN ST LAND TR Fee Owner,"$222,124","$67,405",$0,$0.00,$0.00,$0.00
2463 MAIN ST,COMMERCIAL A,"1,438",2463 MAIN ST LAND TR Fee Owner,"$676,481","$41,484",$0,$0.00,$0.00,$0.00
9650 MAIN ST,RESIDENTIAL A,"8,765",9650 MAIN ST LAND TR Fee Owner,"$616,412","$74,923",$0,$0.00,$0.00,$0.00
4974 MAIN ST,COMMERCIAL B,"2,618",4974 MAIN ST LAND TR Fee Owner,"$84,779","$140,306",$0,$0.00,$0.00,$0.00
3060 MAIN ST,COMMERCIAL B,"4,226",3060 MAIN ST LAND TR Fee Owner,"$113,296","$40,930",$0,$0.00,$0.00,$0.00
7436 MAIN ST,RESIDENTIAL A,"7,821",7436 MAIN ST LAND TR Fee Owner,"$516,383","$173,785",$0,$0.00,$0.00,$0.00
6675 MAIN ST,COMMERCIAL A,"5,800",6675 MAIN ST LAND TR Fee Owner,"$302,673","$89,648",$0,$0.00,$0.00,$0.00
5527 MAIN ST,COMMERCIAL B,"5,305",5527 MAIN ST LAND TR Fee Owner,"$595,512","$39,726",$0,$0.00,$0.00,$0.00
8110 MAIN ST,COMMERCIAL B,"3,156",8110 MAIN ST LAND TR Fee Owner,"$176,709","$117,361",$0,$0.00,$0.00,$0.00
7593 MAIN ST,RESIDENTIAL B,"9,629",7593 MAIN ST LAND TR Fee Owner,"$346,109","$141,857",$0,$0.00,$0.00,$0.00
6462 MAIN ST,RESIDENTIAL B,"4,395",6462 MAIN ST LAND TR Fee Owner,"$493,497","$14,776",$0,$0.00,$0.00,$0.00
5507 MAIN ST,RESIDENTIAL A,"4,604",5507 MAIN ST LAND TR Fee Owner,"$322,790","$39,380",$0,$0.00,$0.00,$0.00
3136 MAIN ST,RESIDENTIAL B,"8,653",3136 MAIN ST LAND TR Fee Owner,"$634,552","$110,004",$0,$0.00,$0.00,$0.00
4511 MAIN ST,RESIDENTIAL A,"4,431",4511 MAIN ST LAND TR Fee Owner,"$390,782","$51,589",$0,$0.00,$0.00,$0.00
7074 MAIN ST,COMMERCIAL B,"5,702",7074 MAIN ST LAND TR Fee Owner,"$728,558","$117,240",$0,$0.00,$0.00,$0.00
6346 MAIN ST,COMMERCIAL A,"6,392",6346 MAIN ST LAND TR Fee Owner,"$726,419","$23,796",$0,$0.00,$0.00,$0.00
2504 MAIN ST,COMMERCIAL B,"9,098",2504 MAIN ST LAND TR Fee Owner,"$855,703","$78,963",$0,$0.00,$0.00,$0.00
7278 MAIN ST,RESIDENTIAL A,"7,216",7278 MAIN ST LAND TR Fee Owner,"$135,113","$192,667",$0,$0.00,$0.00,$0.00
3106 MAIN ST,RESIDENTIAL B,"3,391",3106 MAIN ST LAND TR Fee Owner,"$89,022","$167,895",$0,$0.00,$0.00,$0.00
3892 MAIN ST,COMMERCIAL A,"1,833",3892 MAIN ST LAND TR Fee Owner,"$132,471","$6,573",$0,$0.00,$0.00,$0.00
3347 MAIN ST,COMMERCIAL A,"1,990",3347 MAIN ST LAND TR Fee Owner,"$177,101","$181,178",$0,$0.00,$0.00,$0.00
6605 MAIN ST,COMMERCIAL A,"3,230",6605 MAIN ST LAND TR Fee Owner,"$747,797","$143,836",$0,$0.00,$0.00,$0.00
3196 MAIN ST,RESIDENTIAL A,"2,567",3196 MAIN ST LAND TR Fee Owner,"$193,248","$95,968",$0,$0.00,$0.00,$0.00
7338 MAIN ST,COMMERCIAL A,"3,240",7338 MAIN ST LAND TR Fee Owner,"$659,746","$151,291",$0,$0.00,$0.00,$0.00
5224 MAIN ST,COMMERCIAL B,"1,141",5224 MAIN ST LAND TR Fee Owner,"$937,743","$59,041",$0,$0.00,$0.00,$0.00
4708 MAIN ST,RESIDENTIAL B,"2,082",4708 MAIN ST LAND TR Fee Owner,"$129,003","$184,649",$0,$0.00,$0.00,$0.00
6888 MAIN ST,RESIDENTIAL B,"8,820",6888 MAIN ST LAND TR Fee Owner,"$516,761","$179,677",$0,$0.00,$0.00,$0.00
2617 MAIN ST,COMMERCIAL B,"2,989",2617 MAIN ST LAND TR Fee Owner,"$156,626","$91,369",$0,$0.00,$0.00,$0.00
5500 MAIN ST,COMMERCIAL B,"5,404",5500 MAIN ST LAND TR Fee Owner,"$929,339","$149,562",$0,$0.00,$0.00,$0.00
7588 MAIN ST,RESIDENTIAL B,"1,114",7588 MAIN ST LAND TR Fee Owner,"$532,960","$14,298",$0,$0.00,$0.00,$0.00
6617 MAIN ST,RESIDENTIAL B,"5,951",6617 MAIN ST LAND TR Fee Owner,"$92,228","$164,854",$0,$0.00,$0.00,$0.00
9724 MAIN ST,COMMERCIAL A,"7,125",9724 MAIN ST LAND TR Fee Owner,"$534,907","$77,250",$0,$0.00,$0.00,$0.00
5131 MAIN ST,COMMERCIAL A,"9,028",5131 MAIN ST LAND TR Fee Owner,"$321,478","$77,855",$0,$0.00,$0.00,$0.00
8896 MAIN ST,RESIDENTIAL A,"2,749",8896 MAIN ST LAND TR Fee Owner,"$149,304","$59,255",$0,$0.00,$0.00,$0.00
6442 MAIN ST,RESIDENTIAL B,"5,085",6442 MAIN ST LAND TR Fee Owner,"$721,259","$22,833",$0,$0.00,$0.00,$0.00
1580 MAIN ST,RESIDENTIAL A,"6,873",1580 MAIN ST LAND TR Fee Owner,"$575,147","$135,426",$0,$0.00,$0.00,$0.00
5116 MAIN ST,RESIDENTIAL A,"6,360",5116 MAIN ST LAND TR Fee Owner,"$282,692","$111,156",$0,$0.00,$0.00,$0.00
9650 MAIN ST,RESIDENTIAL A,"6,616",9650 MAIN ST LAND TR Fee Owner,"$142,238","$104,992",$0,$0.00,$0.00,$0.00
7927 MAIN ST,COMMERCIAL B,"3,972",7927 MAIN ST LAND TR Fee Owner,"$450,015","$90,668",$0,$0.00,$0.00,$0.00
4245 MAIN ST,RESIDENTIAL B,"9,859",4245 MAIN ST LAND TR Fee Owner,"$137,584","$29,714",$0,$0.00,$0.00,$0.00
5899 MAIN ST,COMMERCIAL A,"5,440",5899 MAIN ST LAND TR Fee Owner,"$168,064","$189,531",$0,$0.00,$0.00,$0.00
8941 MAIN ST,COMMERCIAL B,"9,309",8941 MAIN ST LAND TR Fee Owner,"$706,952","$72,585",$0,$0.00,$0.00,$0.00
9677 MAIN ST,COMMERCIAL B,"9,227",9677 MAIN ST LAND TR Fee Owner,"$554,796","$33,165",$0,$0.00,$0.00,$0.00
5281 MAIN ST,RESIDENTIAL A,"4,789",5281 MAIN ST LAND TR Fee Owner,"$98,620","$183,382",$0,$0.00,$0.00,$0.00
5969 MAIN ST,COMMERCIAL B,"8,781",5969 MAIN ST LAND TR Fee Owner,"$724,088","$96,188",$0,$0.00,$0.00,$0.00
3908 MAIN ST,RESIDENTIAL B,"5,289",3908 MAIN ST LAND TR Fee Owner,"$522,814","$189,705",$0,$0.00,$0.00,$0.00
9328 MAIN ST,COMMERCIAL B,"4,161",9328 MAIN ST LAND TR Fee Owner,"$540,780","$185,520",$0,$0.00,$0.00,$0.00
1868 MAIN ST,RESIDENTIAL B,"2,440",1868 MAIN ST LAND TR Fee Owner,"$272,725","$198,034",$0,$0.00,$0.00,$0.00
3508 MAIN ST,COMMERCIAL B,"6,623",3508 MAIN ST LAND TR Fee Owner,"$219,288","$87,001",$0,$0.00,$0.00,$0.00
9806 MAIN ST,COMMERCIAL B,"8,442",9806 MAIN ST LAND TR Fee Owner,"$218,834","$46,453",$0,$0.00,$0.00,$0.00
8435 MAIN ST,COMMERCIAL B,"1,878",8435 MAIN ST LAND TR Fee Owner,"$931,435","$93,769",$0,$0.00,$0.00,$0.00
4823 MAIN ST,RESIDENTIAL A,"3,788",4823 MAIN ST LAND TR Fee Owner,"$580,609","$142,469",$0,$0.00,$0.00,$0.00
3357 MAIN ST,RESIDENTIAL A,"3,926",3357 MAIN ST LAND TR Fee Owner,"$409,655","$180,775",$0,$0.00,$0.00,$0.00
4544 MAIN ST,COMMERCIAL B,"1,189",4544 MAIN ST LAND TR Fee Owner,"$477,555","$185,211",$0,$0.00,$0.00,$0.00
9657 MAIN ST,RESIDENTIAL B,"2,730",9657 MAIN ST LAND TR Fee Owner,"$86,119","$38,860",$0,$0.00,$0.00,$0.00
4463 MAIN ST,RESIDENTIAL B,"3,822",4463 MAIN ST LAND TR Fee Owner,"$732,341","$199,450",$0,$0.00,$0.00,$0.00
4221 MAIN ST,RESIDENTIAL B,"3,079",4221 MAIN ST LAND TR Fee Owner,"$753,475","$145,831",$0,$0.00,$0.00,$0.00
5708 MAIN ST,RESIDENTIAL A,"6,857",5708 MAIN ST LAND TR Fee Owner,"$464,631","$174,734",$0,$0.00,$0.00,$0.00
9472 MAIN ST,COMMERCIAL B,"8,469",9472 MAIN ST LAND TR Fee Owner,"$806,404","$35,791",$0,$0.00,$0.00,$0.00
4850 MAIN ST,COMMERCIAL A,"6,692",4850 MAIN ST LAND TR Fee Owner,"$781,785","$71,936",$0,$0.00,$0.00,$0.00
1108 MAIN ST,RESIDENTIAL A,"9,142",1108 MAIN ST LAND TR Fee Owner,"$80,114","$151,966",$0,$0.00,$0.00,$0.00
7492 MAIN ST,RESIDENTIAL B,"9,819",7492 MAIN ST LAND TR Fee Owner,"$335,683","$129,045",$0,$0.00,$0.00,$0.00
4136 MAIN ST,RESIDENTIAL B,"8,897",4136 MAIN ST LAND TR Fee Owner,"$553,202","$98,760",$0,$0.00,$0.00,$0.00
2623 MAIN ST,COMMERCIAL A,"3,836",2623 MAIN ST LAND TR Fee Owner,"$374,643","$148,756",$0,$0.00,$0.00,$0.00
2472 MAIN ST,COMMERCIAL B,"9,288",2472 MAIN ST LAND TR Fee Owner,"$56,164","$96,308",$0,$0.00,$0.00,$0.00
8571 MAIN ST,COMMERCIAL B,"3,529",8571 MAIN ST LAND TR Fee Owner,"$57,748","$199,872",$0,$0.00,$0.00,$0.00
1093 MAIN ST,COMMERCIAL A,"7,509",1093 MAIN ST LAND TR Fee Owner,"$188,622","$186,456",$0,$0.00,$0.00,$0.00
9879 MAIN ST,COMMERCIAL A,"4,750",9879 MAIN ST LAND TR Fee Owner,"$757,920","$173,066",$0,$0.00,$0.00,$0.00
3621 MAIN ST,RESIDENTIAL A,"6,506",3621 MAIN ST LAND TR Fee Owner,"$860,957","$19,577",$0,$0.00,$0.00,$0.00
4104 MAIN ST,COMMERCIAL B,"9,158",4104 MAIN ST LAND TR Fee Owner,"$900,989","$133,529",$0,$0.00,$0.00,$0.00
7081 MAIN ST,RESIDENTIAL B,"5,756",7081 MAIN ST LAND TR Fee Owner,"$838,506","$191,500",$0,$0.00,$0.00,$0.00
7477 MAIN ST,RESIDENTIAL A,"6,226",7477 MAIN ST LAND TR Fee Owner,"$822,744","$186,130",$0,$0.00,$0.00,$0.00
7057 MAIN ST,COMMERCIAL B,"2,986",7057 MAIN ST LAND TR Fee Owner,"$443,307","$118,328",$0,$0.00,$0.00,$0.00
8785 MAIN ST,COMMERCIAL A,"1,775",8785 MAIN ST LAND TR Fee Owner,"$889,299","$12,668",$0,$0.00,$0.00,$0.00
2305 MAIN ST,RESIDENTIAL B,"9,536",2305 MAIN ST LAND TR Fee Owner,"$507,919","$183,830",$0,$0.00,$0.00,$0.00
7435 MAIN ST,COMMERCIAL B,"5,924",7435 MAIN ST LAND TR Fee Owner,"$62,576","$68,852",$0,$0.00,$0.00,$0.00
5498 MAIN ST,RESIDENTIAL B,"8,290",5498 MAIN ST LAND TR Fee Owner,"$845,068","$120,959",$0,$0.00,$0.00,$0.00
3976 MAIN ST,RESIDENTIAL B,"2,050",3976 MAIN ST LAND TR Fee Owner,"$592,166","$25,359",$0,$0.00,$0.00,$0.00
1303 MAIN ST,COMMERCIAL B,"7,652",1303 MAIN ST LAND TR Fee Owner,"$474,103","$142,284",$0,$0.00,$0.00,$0.00
1804 MAIN ST,COMMERCIAL A,"2,816",1804 MAIN ST LAND TR Fee Owner,"$570,475","$182,397",$0,$0.00,$0.00,$0.00
9667 MAIN ST,RESIDENTIAL A,"3,318",9667 MAIN ST LAND TR Fee Owner,"$773,494","$121,231",$0,$0.00,$0.00,$0.00
8815 MAIN ST,COMMERCIAL A,"5,367",8815 MAIN ST LAND TR Fee Owner,"$956,538","$186,321",$0,$0.00,$0.00,$0.00
5059 MAIN ST,RESIDENTIAL A,"9,694",5059 MAIN ST LAND TR Fee Owner,"$589,830","$168,244",$0,$0.00,$0.00,$0.00
5511 MAIN ST,COMMERCIAL B,"4,247",5511 MAIN ST LAND TR Fee Owner,"$68,483","$28,828",$0,$0.00,$0.00,$0.00
2083 MAIN ST,RESIDENTIAL B,"2,184",2083 MAIN ST LAND TR Fee Owner,"$800,403","$149,321",$0,$0.00,$0.00,$0.00
2221 MAIN ST,COMMERCIAL A,"6,934",2221 MAIN ST LAND TR Fee Owner,"$187,364","$90,229",$0,$0.00,$0.00,$0.00
9862 MAIN ST,COMMERCIAL B,"9,374",9862 MAIN ST LAND TR Fee Owner,"$329,288","$113,712",$0,$0.00,$0.00,$0.00
3343 MAIN ST,RESIDENTIAL B,"8,825",3343 MAIN ST LAND TR Fee Owner,"$475,675","$102,776",$0,$0.00,$0.00,$0.00
5619 MAIN ST,RESIDENTIAL B,"4,159",5619 MAIN ST LAND TR Fee Owner,"$471,872","$82,472",$0,$0.00,$0.00,$0.00
9057 MAIN ST,COMMERCIAL B,"9,017",9057 MAIN ST LAND TR Fee Owner,"$740,588","$98,017",$0,$0.00,$0.00,$0.00
7252 MAIN ST,RESIDENTIAL A,"7,516",7252 MAIN ST LAND TR Fee Owner,"$816,621","$179,387",$0,$0.00,$0.00,$0.00
5486 MAIN ST,RESIDENTIAL A,"4,735",5486 MAIN ST LAND TR Fee Owner,"$714,722","$121,977",$0,$0.00,$0.00,$0.00
6097 MAIN ST,COMMERCIAL B,"4,688",6097 MAIN ST LAND TR Fee Owner,"$84,864","$123,374",$0,$0.00,$0.00,$0.00
3069 MAIN ST,COMMERCIAL B,"8,729",3069 MAIN ST LAND TR Fee Owner,"$653,011","$173,826",$0,$0.00,$0.00,$0.00
6840 MAIN ST,COMMERCIAL B,"6,911",6840 MAIN ST LAND TR Fee Owner,"$245,922","$175,765",$0,$0.00,$0.00,$0.00
8590 MAIN ST,COMMERCIAL A,"7,159",8590 MAIN ST LAND TR Fee Owner,"$137,772","$13,423",$0,$0.00,$0.00,$0.00
1211 MAIN ST,RESIDENTIAL A,"9,314",1211 MAIN ST LAND TR Fee Owner,"$307,151","$63,272",$0,$0.00,$0.00,$0.00
3654 MAIN ST,RESIDENTIAL A,"3,716",3654 MAIN ST LAND TR Fee Owner,"$975,441","$170,534",$0,$0.00,$0.00,$0.00
3007 MAIN ST,RESIDENTIAL A,"3,736",3007 MAIN ST LAND TR Fee Owner,"$899,086","$62,401",$0,$0.00,$0.00,$0.00
7196 MAIN ST,COMMERCIAL A,"7,513",7196 MAIN ST LAND TR Fee Owner,"$127,170","$188,037",$0,$0.00,$0.00,$0.00
9873 MAIN ST,RESIDENTIAL A,"9,508",9873 MAIN ST LAND TR Fee Owner,"$157,498","$19,367",$0,$0.00,$0.00,$0.00
5730 MAIN ST,RESIDENTIAL A,"6,250",5730 MAIN ST LAND TR Fee Owner,"$307,069","$32,920",$0,$0.00,$0.00,$0.00
8182 MAIN ST,COMMERCIAL B,"1,085",8182 MAIN ST LAND TR Fee Owner,"$258,198","$168,438",$0,$0.00,$0.00,$0.00
4663 MAIN ST,COMMERCIAL B,"4,945",4663 MAIN ST LAND TR Fee Owner,"$960,953","$164,022",$0,$0.00,$0.00,$0.00
8249 MAIN ST,RESIDENTIAL A,"5,082",8249 MAIN ST LAND TR Fee Owner,"$575,861","$199,510",$0,$0.00,$0.00,$0.00
1145 MAIN ST,COMMERCIAL A,"4,636",1145 MAIN ST LAND TR Fee Owner,"$275,369","$143,925",$0,$0.00,$0.00,$0.00
5842 MAIN ST,RESIDENTIAL B,"6,906",5842 MAIN ST LAND TR Fee Owner,"$698,456","$114,556",$0,$0.00,$0.00,$0.00
7871 MAIN ST,COMMERCIAL B,"6,177",7871 MAIN ST LAND TR Fee Owner,"$165,765","$27,900",$0,$0.00,$0.00,$0.00
5184 MAIN ST,COMMERCIAL B,"9,515",5184 MAIN ST LAND TR Fee Owner,"$721,800","$130,050",$0,$0.00,$0.00,$0.00
6486 MAIN ST,COMMERCIAL B,"8,844",6486 MAIN ST LAND TR Fee Owner,"$183,793","$192,533",$0,$0.00,$0.00,$0.00
5661 MAIN ST,COMMERCIAL A,"9,018",5661 MAIN ST LAND TR Fee Owner,"$220,174","$121,003",$0,$0.00,$0.00,$0.00
8513 MAIN ST,COMMERCIAL A,"3,170",8513 MAIN ST LAND TR Fee Owner,"$389,969","$83,375",$0,$0.00,$0.00,$0.00
7323 MAIN ST,COMMERCIAL A,"5,014",7323 MAIN ST LAND TR Fee Owner,"$197,169","$114,797",$0,$0.00,$0.00,$0.00
9862 MAIN ST,COMMERCIAL A,"7,699",9862 MAIN ST LAND TR Fee Owner,"$255,337","$156,305",$0,$0.00,$0.00,$0.00
2959 MAIN ST,RESIDENTIAL A,"8,968",2959 MAIN ST LAND TR Fee Owner,"$490,177","$76,228",$0,$0.00,$0.00,$0.00
1844 MAIN ST,COMMERCIAL B,"7,216",1844 MAIN ST LAND TR Fee Owner,"$78,363","$199,391",$0,$0.00,$0.00,$0.00
4948 MAIN ST,COMMERCIAL B,"7,359",4948 MAIN ST LAND TR Fee Owner,"$692,765","$139,528",$0,$0.00,$0.00,$0.00
3103 MAIN ST,RESIDENTIAL B,"1,289",3103 MAIN ST LAND TR Fee Owner,"$643,002","$37,552",$0,$0.00,$0.00,$0.00
2286 MAIN ST,RESIDENTIAL B,"1,269",2286 MAIN ST LAND TR Fee Owner,"$776,413","$154,456",$0,$0.00,$0.00,$0.00
9519 MAIN ST,RESIDENTIAL A,"6,154",9519 MAIN ST LAND TR Fee Owner,"$664,961","$190,710",$0,$0.00,$0.00,$0.00
4072 MAIN ST,COMMERCIAL B,"6,685",4072 MAIN ST LAND TR Fee Owner,"$836,667","$101,486",$0,$0.00,$0.00,$0.00
9391 MAIN ST,COMMERCIAL A,"6,734",9391 MAIN ST LAND TR Fee Owner,"$491,139","$31,158",$0,$0.00,$0.00,$0.00
6653 MAIN ST,RESIDENTIAL B,"9,697",6653 MAIN ST LAND TR Fee Owner,"$558,135","$10,626",$0,$0.00,$0.00,$0.00
7125 MAIN ST,COMMERCIAL A,"2,414",7125 MAIN ST LAND TR Fee Owner,"$541,661","$98,030",$0,$0.00,$0.00,$0.00
4095 MAIN ST,COMMERCIAL A,"8,773",4095 MAIN ST LAND TR Fee Owner,"$844,064","$127,628",$0,$0.00,$0.00,$0.00
4429 MAIN ST,RESIDENTIAL B,"6,220",4429 MAIN ST LAND TR Fee Owner,"$686,106","$102,585",$0,$0.00,$0.00,$0.00
9599 MAIN ST,RESIDENTIAL A,"3,526",9599 MAIN ST LAND TR Fee Owner,"$397,527","$29,281",$0,$0.00,$0.00,$0.00
6886 MAIN ST,COMMERCIAL B,"4,971",6886 MAIN ST LAND TR Fee Owner,"$170,386","$82,525",$0,$0.00,$0.00,$0.00
9987 MAIN ST,RESIDENTIAL A,"2,869",9987 MAIN ST LAND TR Fee Owner,"$976,771","$65,622",$0,$0.00,$0.00,$0.00
1445 MAIN ST,RESIDENTIAL B,"6,177",1445 MAIN ST LAND TR Fee Owner,"$120,314","$53,013",$0,$0.00,$0.00,$0.00
4201 MAIN ST,COMMERCIAL B,"9,656",4201 MAIN ST LAND TR Fee Owner,"$497,636","$194,656",$0,$0.00,$0.00,$0.00
5896 MAIN ST,COMMERCIAL A,"2,397",5896 MAIN ST LAND TR Fee Owner,"$512,141","$151,217",$0,$0.00,$0.00,$0.00
4512 MAIN ST,RESIDENTIAL A,"3,877",4512 MAIN ST LAND TR Fee Owner,"$961,289","$142,256",$0,$0.00,$0.00,$0.00
1403 MAIN ST,COMMERCIAL B,"4,763",1403 MAIN ST LAND TR Fee Owner,"$871,026","$101,984",$0,$0.00,$0.00,$0.00
6392 MAIN ST,COMMERCIAL A,"7,492",6392 MAIN ST LAND TR Fee Owner,"$296,189","$182,479",$0,$0.00,$0.00,$0.00
8479 MAIN ST,RESIDENTIAL A,"3,489",8479 MAIN ST LAND TR Fee Owner,"$211,457","$71,667",$0,$0.00,$0.00,$0.00
5936 MAIN ST,COMMERCIAL B,"8,465",5936 MAIN ST LAND TR Fee Owner,"$858,162","$133,522",$0,$0.00,$0.00,$0.00
6209 MAIN ST,COMMERCIAL A,"9,634",6209 MAIN ST LAND TR Fee Owner,"$149,152","$187,926",$0,$0.00,$0.00,$0.00
6460 MAIN ST,RESIDENTIAL B,"2,229",6460 MAIN ST LAND TR Fee Owner,"$851,220","$155,045",$0,$0.00,$0.00,$0.00
1389 MAIN ST,COMMERCIAL A,"2,689",1389 MAIN ST LAND TR Fee Owner,"$237,492","$42,661",$0,$0.00,$0.00,$0.00
8110 MAIN ST,COMMERCIAL A,"5,777",8110 MAIN ST LAND TR Fee Owner,"$183,493","$116,691",$0,$0.00,$0.00,$0.00
1945 MAIN ST,RESIDENTIAL A,"4,028",1945 MAIN ST LAND TR Fee Owner,"$980,807","$159,000",$0,$0.00,$0.00,$0.00
5148 MAIN ST,COMMERCIAL A,"3,033",5148 MAIN ST LAND TR Fee Owner,"$418,289","$38,567",$0,$0.00,$0.00,$0.00
1792 MAIN ST,RESIDENTIAL B,"5,219",1792 MAIN ST LAND TR Fee Owner,"$320,443","$111,319",$0,$0.00,$0.00,$0.00
7614 MAIN ST,COMMERCIAL B,"3,657",7614 MAIN ST LAND TR Fee Owner,"$249,924","$15,611",$0,$0.00,$0.00,$0.00
1728 MAIN ST,COMMERCIAL A,"1,317",1728 MAIN ST LAND TR Fee Owner,"$970,545","$75,815",$0,$0.00,$0.00,$0.00
3861 MAIN ST,RESIDENTIAL A,"3,512",3861 MAIN ST LAND TR Fee Owner,"$825,028","$112,073",$0,$0.00,$0.00,$0.00
6776 MAIN ST,COMMERCIAL B,"3,769",6776 MAIN ST LAND TR Fee Owner,"$209,003","$139,133",$0,$0.00,$0.00,$0.00
3505 MAIN ST,RESIDENTIAL B,"5,894",3505 MAIN ST LAND TR Fee Owner,"$847,328","$65,188",$0,$0.00,$0.00,$0.00
6287 MAIN ST,COMMERCIAL B,"9,122",6287 MAIN ST LAND TR Fee Owner,"$421,510","$8,093",$0,$0.00,$0.00,$0.00
2869 MAIN ST,RESIDENTIAL A,"6,404",2869 MAIN ST LAND TR Fee Owner,"$136,633","$58,845",$0,$0.00,$0.00,$0.00
8590 MAIN ST,COMMERCIAL B,"5,289",8590 MAIN ST LAND TR Fee Owner,"$455,590","$65,916",$0,$0.00,$0.00,$0.00
7646 MAIN ST,COMMERCIAL B,"5,733",7646 MAIN ST LAND TR Fee Owner,"$417,620","$94,833",$0,$0.00,$0.00,$0.00
1125 MAIN ST,COMMERCIAL A,"4,612",1125 MAIN ST LAND TR Fee Owner,"$119,619","$16,166",$0,$0.00,$0.00,$0.00
3390 MAIN ST,COMMERCIAL A,"8,186",3390 MAIN ST LAND TR Fee Owner,"$987,260","$78,688",$0,$0.00,$0.00,$0.00
1334 MAIN ST,COMMERCIAL A,"2,738",1334 MAIN ST LAND TR Fee Owner,"$105,052","$186,602",$0,$0.00,$0.00,$0.00
4570 MAIN ST,RESIDENTIAL A,"9,942",4570 MAIN ST LAND TR Fee Owner,"$820,338","$195,821",$0,$0.00,$0.00,$0.00
8191 MAIN ST,COMMERCIAL A,"5,188",8191 MAIN ST LAND TR Fee Owner,"$984,021","$18,172",$0,$0.00,$0.00,$0.00
2900 MAIN ST,RESIDENTIAL A,"8,471",2900 MAIN ST LAND TR Fee Owner,"$600,982","$29,040",$0,$0.00,$0.00,$0.00
2367 MAIN ST,COMMERCIAL B,"9,333",2367 MAIN ST LAND TR Fee Owner,"$212,152","$22,771",$0,$0.00,$0.00,$0.00
5819 MAIN ST,COMMERCIAL B,"1,877",5819 MAIN ST LAND TR Fee Owner,"$379,651","$174,867",$0,$0.00,$0.00,$0.00
3080 MAIN ST,COMMERCIAL B,"8,402",3080 MAIN ST LAND TR Fee Owner,"$769,802","$47,231",$0,$0.00,$0.00,$0.00
7148 MAIN ST,COMMERCIAL B,"1,647",7148 MAIN ST LAND TR Fee Owner,"$291,214","$171,390",$0,$0.00,$0.00,$0.00
7505 MAIN ST,COMMERCIAL A,"1,954",7505 MAIN ST LAND TR Fee Owner,"$588,308","$75,433",$0,$0.00,$0.00,$0.00
4616 MAIN ST,COMMERCIAL B,"8,861",4616 MAIN ST LAND TR Fee Owner,"$287,440","$56,610",$0,$0.00,$0.00,$0.00
8280 MAIN ST,RESIDENTIAL A,"4,777",8280 MAIN ST LAND TR Fee Owner,"$399,373","$51,348",$0,$0.00,$0.00,$0.00
1569 MAIN ST,RESIDENTIAL B,"7,817",1569 MAIN ST LAND TR Fee Owner,"$616,163","$184,260",$0,$0.00,$0.00,$0.00
5807 MAIN ST,COMMERCIAL A,"4,674",5807 MAIN ST LAND TR Fee Owner,"$794,553","$76,705",$0,$0.00,$0.00,$0.00
2980 MAIN ST,COMMERCIAL A,"3,041",2980 MAIN ST LAND TR Fee Owner,"$267,560","$109,564",$0,$0.00,$0.00,$0.00
6583 MAIN ST,COMMERCIAL B,"5,008",6583 MAIN ST LAND TR Fee Owner,"$147,220","$24,841",$0,$0.00,$0.00,$0.00
4486 MAIN ST,RESIDENTIAL B,"4,234",4486 MAIN ST LAND TR Fee Owner,"$607,876","$145,098",$0,$0.00,$0.00,$0.00
8054 MAIN ST,COMMERCIAL B,"6,064",8054 MAIN ST LAND TR Fee Owner,"$268,886","$144,955",$0,$0.00,$0.00,$0.00
3682 MAIN ST,COMMERCIAL B,"9,435",3682 MAIN ST LAND TR Fee Owner,"$769,212","$157,170",$0,$0.00,$0.00,$0.00
9545 MAIN ST,RESIDENTIAL A,"7,489",9545 MAIN ST LAND TR Fee Owner,"$617,437","$23,413",$0,$0.00,$0.00,$0.00
2463 MAIN ST,COMMERCIAL B,"3,430",2463 MAIN ST LAND TR Fee Owner,"$156,884","$19,779",$0,$0.00,$0.00,$0.00
9628 MAIN ST,RESIDENTIAL B,"4,894",9628 MAIN ST LAND TR Fee Owner,"$441,968","$71,919",$0,$0.00,$0.00,$0.00
